technology_id,country,name,groundwater,surfacewater,waterquality,waterquality_referring,watersupply,water_use_rights,water_comments
1032,TJ,Solar greenhouses,5_50M,MEDIUM,POOR,,MIXED,,
1033,TJ,Terracing on the hill slope areas,,MEDIUM,POOR,,RAINFED,,Water quality (untreated): Mostly hand water pumps
1034,TJ,Irrigated agro-biodiversity system in arid high mountain area,5_50M,MEDIUM,GOOD,,IRRIGATION,INDIVIDUAL,
1035,GR,Olive groves under no-tillage operations,50M_PLUS,GOOD,GOOD,,MIXED,COMMUNAL,
1036,TJ,Establishment of living seabuckthorn fences for the protection of reforestation sites (CACILM),LESS_5M,MEDIUM,GOOD,,,COMMUNAL,
1037,TJ,Drip irrigation using polyethylene sheeting and intermittent cloth strips.,LESS_5M,MEDIUM,GOOD,,IRRIGATION,INDIVIDUAL,
1038,TJ,"Vertical growing of potatoes in pits, by the gradual addition of further layers of soil.",LESS_5M,MEDIUM,GOOD,,IRRIGATION,OPEN_ACCESS,
1039,MA,Labour minimum couplé à la mise en défens partielle des chaumes,,,,,RAINFED,INDIVIDUAL,
1040,TJ,Bee-keeping in uplands,,,,,MIXED,,
1041,TJ,Passive solar greenhouses for winter commercial vegetable production,LESS_5M,GOOD,POOR,,IRRIGATION,,Water availability is good because area is close to river.
1042,GR,Transport of freshwater from local streams,,GOOD,AGRICULTURALUSE,,,OPEN_ACCESS|COMMUNAL,"Ground water table: on surface (near the coastline or/and adjucent to Nestos river), < 5 m (the rest of Nestos river basin)
Water quality (untreated) is for agricultural use only (irrigation) (Occassionaly wastewater discharges from upstrem factories)"
1043,TJ,Gradual development of bench terraces from contour ditches,5_50M,MEDIUM,AGRICULTURALUSE,,,,
1044,CR,Shade-grown coffee,,,,,RAINFED,,
1045,ET,Hararghie Soil Bund,,,,,RAINFED,,
1046,ET,Ridge bund,,,,,RAINFED,,
1047,ET,Stone faced level bund,,,,,RAINFED,,
1048,ET,Area closure for rehabilitation,,,,,RAINFED,,
1049,ET,Improved grazing land management,,,,,RAINFED,,
1050,TJ,Energy efficiency measures to increase the application of organic fertilisers.,50M_PLUS,MEDIUM,UNUSABLE,,,,
1051,TJ,Water wheel pump system,50M_PLUS,POOR,GOOD,,IRRIGATION,OPEN_ACCESS|OTHER,Ground water table: The higher up the slope the deeper the water table.
1052,TJ,Rehabilitation of poor soils through agroforestry,LESS_5M,POOR,AGRICULTURALUSE,,IRRIGATION,,"Ground water table: Too high, danger of waterlogging "
1053,TJ,Rehabilitation of grazing areas through planting of Izen perennial shrubs,50M_PLUS,POOR,UNUSABLE,,RAINFED,,
1054,TJ,Pest management with pheromone insect traps,,POOR,POOR,,MIXED,,poor drinking water (treatment required)= groundwater
1055,TJ,Conversion of stony slopes into an irrigated apricot orchard,50M_PLUS,,GOOD,,IRRIGATION,,
1056,TJ,Agroforestry in arid alpine zone above 3300 m asl,,,GOOD,,IRRIGATION,OPEN_ACCESS,
1057,TJ,Integrated Technologies for Household Plots,5_50M,GOOD,GOOD,,MIXED,,"Availability of surface water was medium before the intervention.

Water quality (untreated) is good because the spring water is almost pure water."
1058,ET,Dawa-Cheffa Traditional Checkdam,,,,,RAINFED,,
1059,ET,Dejen Stone Bund,,,,,RAINFED,,
1060,ET,Graded Soil bund,,,,,RAINFED,,
1061,ET,level bund with double stone walls,,,,,RAINFED,,
1062,ET,Stone Faced Soil Bund of South Gonder,,,,,RAINFED,,
1063,ET,Stablized Stone Faced Soil Bund,,,,,RAINFED,,
1064,TJ,Phytopesticides,LESS_5M,,GOOD,,MIXED,OPEN_ACCESS,"Availability of surface water: good, medium"
1065,ET,DireDawaTraditional Checkdam,,,,,RAINFED,,
1066,ET,Chat Ridge bund,,,,,RAINFED,,
1067,ET,Sorghum Terrace of Diredawa (STD),,,,,RAINFED,,
1068,ET,Sweet Potato Ridge,,,,,RAINFED,,
1069,ET,Earth checks for Gully reclamation,,,,,RAINFED,,
1070,ET,Rehabilitation of degraded lands,,,,,RAINFED,,
1071,ET,Desho Grass Soil Bund,,,,,RAINFED,,
1072,ET,Rehabilitation of Degraded Lands ( Area closure),,,,,RAINFED,,
1073,ET,Soil Bund with Contour Cultivation,,,,,RAINFED,,
1074,ET,Vegetated Fanya juu,,,,,RAINFED,,
1075,ET,Microcatchments and ponds,,,,,RAINFED,,
1076,ET,Haraghie Stone Bund,,,,,RAINFED,,
1077,ET,Stone-faced Soil Bund Stablized with Grass,,,,,RAINFED,,
1078,ET,Soil bund & Fanya Juu combined & vegetated,,,,,RAINFED,,
1079,ET,Paved and grassed waterways,,,,,RAINFED,,
1080,HU,Conservation tillage,,,,,RAINFED,,
1081,HU,Conventional (contour-line and ploughing)  tillage,,,,,RAINFED,,
1082,ID,Paddy Field Terrace,,,,,,,
1083,IN,Agro-forestry,,,,,MIXED,,
1084,IN,Holistic demonstration,,,,,RAINFED,,
1085,IN,Integrated Farming System,,,,,,,
1086,IN,Dug-out sunken pond cum countour bund,,,,,RAINFED,,
1087,GR,"No tillage operations, plastic nets permanently on the soil surface",50M_PLUS,GOOD,,,,COMMUNAL|INDIVIDUAL,"Water quality (untreated): good drinking water, for agricultural use only (irrigation)"
1088,IN,Dug-Out Well,,,,,OTHER,,
1089,KZ,Technology of fastening Aral sea's drained bottom' s  soil,,,,,RAINFED,,
1090,KZ,Creation of haloxylon pasture-protective strips at north desert,,,,,RAINFED,,
1091,KZ,Water-conservation technology at cultivation of the cotton in south. K,,,,,RAINFED,,
1092,KZ,Soil-protective minimal technology of the tillage and sowing,,,,,RAINFED,,
1093,KZ,Creation of artificial pasturable phytocenosis at north desert subzone,,,,,RAINFED,,
1094,KE,Road runoff management - Nyeri,,,,,RAINFED,,
1095,KE,double dug beds - Busia experience,,,,,RAINFED,,
1096,KE,Riverbed reclamation & silt trapping for sugarcane,,,,,RAINFED,,
1097,KE,Water harvest,,,,,RAINFED,,
1098,KG,Poplar trees for bio-drainage,,,,,,,
1099,NP,Traditional irrigated rice terraces,,,,,RAINFED,,
1100,NE,Planting pits and stone lines,,,,,RAINFED,,
1101,NE,Sand dune stabilisation,,,,,RAINFED,,
1102,PH,Small Farm Reservoir (SFR),,,,,,,
1103,PH,Multi-Storey Cropping,,,,,RAINFED,,
1104,PH,Residue Incorporation (Corn),,,,,RAINFED,,
1105,PH,Planted Vegetative Strips (PVS),,,,,,,
1106,CN,Orchard terraces with bahia grass cover,,,,,MIXED,,
1107,TJ,Integrated stone wall and poplar tree perimeter fencing,5_50M,GOOD,GOOD,,MIXED,OTHER,"Availability of surface water: Also medium

Water quality (untreated): The spring water is almost pure water"
1108,NE,Sarclo-binage cloisonné,,,,,RAINFED,,
1109,ES,Organic mulch under almond trees,5_50M,POOR,AGRICULTURALUSE,,OTHER,COMMUNAL|INDIVIDUAL,
1110,MA,Gully control by plantation of Atriplex,5_50M,,GOOD,,MIXED,OPEN_ACCESS,
1111,TJ,Mulching in rainfed vineyards on terraces in the loess hill zone,5_50M,MEDIUM,GOOD,,RAINFED,OTHER,
1112,MA,Olive tree plantations with intercropping,5_50M,MEDIUM,GOOD,,RAINFED,OPEN_ACCESS,"Ground water table: Lower groundwater level in summer, due to its exploitation. In Winter > 50 m

Availability of surface water: Medium when groundwater table in the depressions. Also poor/none

Water quality (untreated): Good drinking water when well water and sources, otherwise the quality is poor."
1113,TJ,The ancient agroforestry and agricultural biodiversity of crops on the basis of irrigated walnut orchard,5_50M,MEDIUM,GOOD,,IRRIGATION,OPEN_ACCESS,
1114,MX,Land reclamation by agave forestry with native species,5_50M,MEDIUM,AGRICULTURALUSE,,RAINFED,COMMUNAL|INDIVIDUAL|OTHER,"Ground water table: Also  > 50 m and for Agaves, trees and herbaceous no problems

Availability of surface water: Also poor/ none and for Agaves and herbaceous no problems, but some difficulties for some tree species

Water quality (untreated): Also unusable"
1115,KZ,Creation of a perennial grass seed area (CACILM),50M_PLUS,GOOD,,,RAINFED,,
1116,UZ,Improvement of land under arid conditions through the creation of pistachio plantations (CACILM),50M_PLUS,POOR,,,RAINFED,,
1117,UZ,Use of mineralized artesian water to organize irrigated crop farming in the Kyzylkum (CACILM),5_50M,MEDIUM,AGRICULTURALUSE,,RAINFED,,"Availability of surface water: During irrigation, groundwater table rises by up to 2 m 

Water quality (untreated): Underground water has a neutral pH, acid reaction = 7.4 and the average salinity - Ec = 5,6-8,3 ds / m"
1118,KG,The ridge sowing technology (CACILM),LESS_5M,GOOD,GOOD,,MIXED,COMMUNAL,
1119,SN,Agroforestry with Acacia senegal,,POOR,POOR,,RAINFED,COMMUNAL,"Water quality (untreated): Poor drinking water (treatement required, ranked 1, groundwater from borehole during dry season) and for agricultural use only (irrigation, ranked 2, water from temporary ponds during the rainy season)"
1120,KG,Growing cereals by using minimum tillage (CACILM),LESS_5M,GOOD,GOOD,,IRRIGATION,,
1121,KZ,Off-season irrigation of fields and pastures as a mechanism for pasture improvement under climate change conditions in Southern Kazakhstan (CACILM),5_50M,POOR,AGRICULTURALUSE,,MIXED,COMMUNAL|LEASED,"Availability of surface water: In the summer, the water practically does not reach the Talas River (the water is withdrawn for irrigation further upstream

Water quality (untreated): Ground water is good drinking water and lower stretch of the Talas River is for agricultural use only."
1122,TZ,In-situ compost cultivation or ‘pattern farming’,,,,,,,
1123,CL,Crop rotation with legumes,5_50M,POOR,GOOD,,,INDIVIDUAL,
1124,FR,Construction en pierres sèches,,,,,RAINFED,,
1125,KG,Production and application of biohumus,,GOOD,GOOD,,,OPEN_ACCESS,
1126,ZA,Sub-surface drainage on irrigated lands,,,,,,,
1127,TJ,"Выращивание зерновых и кормовых культур под защитой лесополос из облепихи, в условиях аридного и холодного высокогорья",5_50M,GOOD,GOOD,,,OPEN_ACCESS,
1128,TJ,Mixed fruit tree orchard with intercropping of Esparcet and annual crops in Muminabad District,50M_PLUS,POOR,UNUSABLE,,MIXED,,
1130,TJ,Овощи в геотермальных теплицах  в условиях  холодного и аридного высокогорного климата,5_50M,GOOD,GOOD,,,OPEN_ACCESS,
1131,TJ,Посекторный (валиковый) метод полива  зерновых культур в высокогорной каменисто-песчаной пустыне.,5_50M,GOOD,GOOD,,IRRIGATION,OPEN_ACCESS,
1132,TJ,Совместные посевы зерновых и бобовых  культур-  традиционная технология малоземельного Памира,5_50M,GOOD,GOOD,,,OPEN_ACCESS,
1133,PH,Natural Vegetative Strips (NVS),,,,,RAINFED,,
1134,TJ,Current agroforestry: orchard with wheat intercropping,,POOR,AGRICULTURALUSE,,RAINFED,COMMUNAL|INDIVIDUAL,"Availability of surface water: Poor/none (ranked 1, no rainfall from July to August) and medium (ranked 2, winter and spring season with frequent rainfalls (700mm)) "
1135,KE,Planting Bamboes and Grevillea for Riparian Land Conservation,50M_PLUS,MEDIUM,GOOD,,,OPEN_ACCESS,
1136,CH,Vineyard with natural grass cover in an arid alpine zone,5_50M,POOR,GOOD,,RAINFED,COMMUNAL,
1137,KG,Monitoring the condition of pastures  (CACILM),5_50M,MEDIUM,GOOD,,RAINFED,LEASED,"Ground water table: Ground waters are deep, but sometimes pinch out as springs

Availability of surface water: Snow-fed and glacier-fed rivers

Water quality (untreated): Drinking water is mainly used from the river."
1138,TJ,"Orchard establishment on a former wheat plot, by planting fruit tree seedlings in combination with sowing Alfalfa",5_50M,POOR,POOR,,RAINFED,COMMUNAL,"Availability of surface water medium: Winter and spring season with frequent rainfalls (700mm) 

Availability of surface water poor/none: no rainfall from July to August"
1139,ZM,Conservation Tillage with Magoye Ripper,50M_PLUS,MEDIUM,GOOD,,RAINFED,OPEN_ACCESS|OTHER,"Ground water table: <50m (ranked 1, hand wells are <20m but reliable boreholes are > 50m) and 5-50m (ranked 2)
Availability of surface water: Medium (mostly seasonal streams and dams) 
Water quality (untreated): Good drinking water (ranked 1,  from hand pumps (both communal and private)) and poor drinking water (treatment required, from hand dug wells, ranked 1 also)"
1140,ZM,Animal Draft Zero-Tillage,50M_PLUS,MEDIUM,POOR,,RAINFED,OPEN_ACCESS|OTHER,
1141,BF,Ados,5_50M,MEDIUM,AGRICULTURALUSE,,RAINFED,INDIVIDUAL,"Profondeur estimée de l’eau dans le sol: 5-50m (car 10 m en hivernage et entre 15 et 20 m)
Disponibilité de l’eau de surface: Aussi faible/absente
Qualité de l’eau (non traitée): Uniquement pour usage agricole (irrigation pour les cultures)"
1142,BF,Bouli,ONSURFACE,EXCESS,AGRICULTURALUSE,,MIXED,INDIVIDUAL,"Disponibilité de l’eau de surface: Excès (car il est nécessaire d’avoir l’eau à la surface pour alimenter le bouli)
 Qualité de l’eau (non traitée): Uniquement pour usage agricole (irrigation, pour l’agriculture et l’élevage)"
1143,OM,Mulching and drip irrigation for banana,5_50M,POOR,AGRICULTURALUSE,,IRRIGATION,INDIVIDUAL,
1144,BF,Bassin de captage des eaux de ruissellement,ONSURFACE,EXCESS,AGRICULTURALUSE,,RAINFED,,"Disponibilité de l’eau de surface: Excès (car il est nécessaire d’avoir l’eau à la surface pour alimenter le Banka)
 Qualité de l’eau (non traitée): Uniquement pour usage agricole (irrigation, pour l’agriculture et l’élevage)"
1145,NP,Use of Panchhagavya for Plant Protection,5_50M,GOOD,POOR,,RAINFED,,
1146,KE,"Agroforestry system (intercropping beans/maize) with contour ditches, strips of Napier grass, manure and organic fertilizers.",50M_PLUS,MEDIUM,GOOD,,RAINFED,OPEN_ACCESS,
1147,BI,Système agroforestier de Gitega,5_50M,POOR,GOOD,,RAINFED,OPEN_ACCESS,"Profondeur estimée de l’eau dans le sol: On est sur le versant d'une colline 

Disponibilité de l’eau de surface: Sur le flanc de la colline 

Qualité de l’eau (non traitée): Pendant la saison plusvieuse, pollution par sédimentation"
1148,BI,Courbes de niveau,5_50M,MEDIUM,AGRICULTURALUSE,,MIXED,COMMUNAL,"Profondeur estimée de l’eau dans le sol:  Est < 5 m dans le marais et 5-50 m sur le bassin versant

Disponibilité de l’eau de surface: Est moyenne pendant la période de crue et faible/ absente en période d'étiage."
1150,TJ,Crop rotation including annual crops and Esparcet cultivation,LESS_5M,MEDIUM,AGRICULTURALUSE,,RAINFED,COMMUNAL,"Availability of surface water (medium): Autumn - spring 

Availability of surface water (poor/none): July - September"
1151,UG,Grass strips,50M_PLUS,POOR,POOR,,RAINFED,OPEN_ACCESS,"Water quality (untreated): Poor drinking water (treatement required, water in valley only for livestock)"
1152,TZ,Natural forest conservation using apiaries,50M_PLUS,GOOD,GOOD,,,,"Ground water table: On hill slopes 

Water quality (untreated): The site for good drinking water is located some 400m proximal to the natural spring water source used for domestic supply and the Ruvuvu river is not far approximatle 2.kms. Poor drinking water at valley bottoms and wetlands nearby (4kms) and water for agricultural use only in wetlands, is used seasonally for dry season agriculture"
1153,UG,Ficus Natalensis Agroforestry System,5_50M,POOR,POOR,,RAINFED,OPEN_ACCESS,"Ground water table:  5-50 m (The technology does best in soils with ground table of 5-50m to enable root developement)
Availability of surface water: Poor/none (ranked 1, there is no surface water in dry season) and medium (ranked 2, some, in the wet season)
Water quality (untreated): Poor drinking water (treatement required, from unprotected source in swamps)"
1154,TZ,FISH POND MANURING USING CRIB METHOD,ONSURFACE,GOOD,AGRICULTURALUSE,,,OPEN_ACCESS,"Availability of surface water: Good (ranked 1) and excess (ranked 2, the site of the pond is located such that at maximum flooding it shoul d not be reached by flood water to prevent fish escape/overflow)
Water quality (untreated): For agricultural use only: Wetlands used for dry season farming and small horticultural gardens. Farmers fetch water in the streams due to unavailability of safe water points"
1155,TZ,Hedge rows tree planting,50M_PLUS,GOOD,GOOD,,,,"Ground water table: 5-50 m when there os natural plantation.
Availability of surface water: Good during rain season and medium during dry season
Water quality: Good drinking water frequenttly throughout the year and poor during dry season"
1156,TZ,Taungya systems for forest management,50M_PLUS,MEDIUM,AGRICULTURALUSE,,RAINFED,INDIVIDUAL,"Ground water table: The plot is on top of the plateau/ridge
Availability of surface water: Is good when further away, because the permanent rivers Kagera and Ruvuvu are 2km below the plateau.
Water quality (untreated): Good because a gravity scheme supplies water to nearby areas 2kms, but for agriculture only because seasonal agriculture in the dry season in wetlands along the rivers."
1157,TZ,Indigenous water collecting pond and livestock watering trough,ONSURFACE,GOOD,GOOD,,RAINFED,COMMUNAL|INDIVIDUAL,
1158,TJ,Current feed grain cultivation,,POOR,AGRICULTURALUSE,,RAINFED,COMMUNAL,
1159,KE,Agroforestry land use in bench terraces with cut-off and infiltration ditches and Napier grass strips.,50M_PLUS,MEDIUM,GOOD,,RAINFED,OPEN_ACCESS,
1160,RW,Banana manure pits and mulching,5_50M,POOR,POOR,,RAINFED,OPEN_ACCESS,
1161,UG,Mulching,5_50M,POOR,GOOD,,RAINFED,COMMUNAL,"Ground water table: 5-50m (This village is on flat land)
Availability of surface water: Poor/none (ranked 1, especially in dry season) and medium (ranked 2, during rainy season (heavy rains))
Water quality (untreated): Good drinking water (they have two boreholes in the whole village)"
1162,ES,Cover crops in organic vineyard,,MEDIUM,POOR,,RAINFED,INDIVIDUAL,"Ground water table: No data avalilable 
Availability of surface of water: During the maximum water requirements of vines (June-July) water is not available usually. "
1163,HN,Siembra en contorno,,,,,RAINFED,,
1164,HN,Aporque alto y continuo,,,,,RAINFED,,
1165,NI,Cultivo en callejones de Madero Negro,,,,,MIXED,,
1166,SN,Agroforestry homegarden,,POOR,POOR,,,COMMUNAL,"Water quality (untreated): Poor drinking water (treatment required, ranked 1, groundwater during dry season) and for agricultural use only (irrigation, ranked 2, surface water from temporary ponds during rainy season)
"
1167,SN,Agroforestry parkland,,POOR,POOR,,RAINFED,COMMUNAL,
1168,SN,Arboriculture in interdunal depression,5_50M,POOR,GOOD,,MIXED,COMMUNAL,
1169,UG,Fallowing,50M_PLUS,,GOOD,,RAINFED,COMMUNAL,Water quality (untreated): Good drinking water (Spring water which is good for drinking)
1170,UG,Intercropping,LESS_5M,GOOD,GOOD,,RAINFED,COMMUNAL|INDIVIDUAL,"Ground water table: <5m (The area is flat naturally) 
Availability of surface water: Good (especially in rain season)
Water quality (untreated): Good drinking water (They have two bore holes in the whole village)"
1171,BD,Usage of Gher boundary for cropping,LESS_5M,POOR,AGRICULTURALUSE,,RAINFED,LEASED|INDIVIDUAL,
1172,TJ,Current agroforesty of an apple orchard with wheat cropping,,POOR,AGRICULTURALUSE,,RAINFED,COMMUNAL,
1173,ES,Cover crops on olive orchards,ONSURFACE,POOR,AGRICULTURALUSE,,MIXED,OTHER,
1174,YE,Flat Contour Terraces,,,GOOD,,RAINFED,COMMUNAL|OTHER,
1175,KZ,Fallow restoration by no-tillage seeding,5_50M,POOR,POOR,,RAINFED,,
1176,BF,Cordons pierreux isohypses/diguettes/demi lunes /labour/ terres /,5_50M,POOR,POOR,,RAINFED,OPEN_ACCESS|COMMUNAL,"Profondeur estimée de l’eau dans le sol: 5-50 m (classé 1, puits ont une profondeur moyenne de 12 m. L’eau remonte jusqu’à 5-6 m. de profondeur pendant la saison des pluies (août – septembre)) et <5m (classé 2, uniquement dans les bans fonds, en proximité des barrages, au mois de août - septembre) 
Disponibilité de l’eau de surface: Faible/absente (classé 1,eau de surface pendant la saison des pluies, eau de nappe pendant la saison sèche) et moyenne (classé 2) 
Qualité de l’eau (non traitée): Faiblement potable (traitement nécessaire, source : eaux de puits)"
1177,TZ,Buhaya agroforestry system,5_50M,GOOD,POOR,,RAINFED,OPEN_ACCESS,"Availability of surface water: Permanent water stream in plenty

Water quality (untreated): Tap water not found in the whole village"
1178,UG,Calliandra contour hedges,50M_PLUS,POOR,,,RAINFED,,
1179,NP,Biological Waste Water Treatment Plant,,GOOD,UNUSABLE,,,OPEN_ACCESS,"Availability of surface water is good during monsoon

Water quality (untreated) is unusable since it is biological and medical waste"
1180,NP,Mulberry cultivation for silkworm,ONSURFACE,EXCESS,GOOD,,MIXED,,"Ground water table: Infiltration is very low water only flow on surface.
Availability of surface water: During rainy season excess water flow.
Water quality (untreated): Most of the time water is unusable. Some portion of water is used in agriculture."
1181,BI,Terrasses radicales avec des herbes fourragères et agroforesterie,5_50M,MEDIUM,POOR,,RAINFED,OPEN_ACCESS,"Profondeur estimée de l’eau dans le sol: La profondeur moyenne est de 25 m

Disponibilité de l’eau de surface: Toutes les saisons 

Qualité de l’eau (non traitée): Cours d'eau plus borne fontaine"
1182,BF,Zaï forestier,5_50M,POOR,AGRICULTURALUSE,,MIXED,INDIVIDUAL,
1183,TZ,Improved Kibanja cropping system,50M_PLUS,MEDIUM,POOR,,RAINFED,,
1184,TZ,Enhanced mulching in banana and coffee plantation,5_50M,MEDIUM,GOOD,,RAINFED,OPEN_ACCESS|COMMUNAL,
1185,BF,Tapis herbacé,LESS_5M,POOR,AGRICULTURALUSE,,RAINFED,,"Disponibilité de l’eau de surface: Faible/ absente (toute l’eau s’écoule et rien n’y reste)
 Qualité de l’eau (non traitée): Uniquement pour usage agricole (irrigation, pour l’agriculture et production fourragère pour l’élevage)"
1186,PT,Post-fire Forest Residue Mulch,5_50M,GOOD,GOOD,,,OPEN_ACCESS,
1187,ZM,Strip Tillage Conservation Farming,50M_PLUS,MEDIUM,POOR,,RAINFED,OPEN_ACCESS|OTHER,"Ground water table: Hand wells are <20m but reliable boreholes are > 50m 

Availability of surface water: Mostly seasonal streams and dams 

Water quality (untreated):Good when from communal hand-pumps  and poor when from hand-dug wells."
1188,UG,Zero grazing,50M_PLUS,POOR,POOR,,RAINFED,OPEN_ACCESS|INDIVIDUAL,"Ground water table: >50m (Not possible to reach water table) 
Availability of surface water: Poor/none (No surface water except when it rains) 
Water quality (untreated): Poor drinking water (treatement required, muddy water collected by damming runoff in natural rock depressions)"
1189,UZ,Irrigation using shortened furrows and regulated use of mineral fertilizers,LESS_5M,MEDIUM,AGRICULTURALUSE,,,INDIVIDUAL,
1190,BI,Protection de la zone tampon par une plantation communautaire,LESS_5M,MEDIUM,POOR,,RAINFED,OPEN_ACCESS,"Profondeur estimée de l’eau dans le sol: En surface dans la zone de retrait du lac, forme plane inondable et majeure partie de la zone tampon au < 5 m.

Disponibilité de l’eau de surface:  En cas de fortes pluies (Mars - Avril) 

Qualité de l’eau (non traitée): Eaux douces faiblement polluées"
1191,TZ,In situ mulching of coffee using Cordia Abbysinica,50M_PLUS,GOOD,GOOD,,RAINFED,COMMUNAL,
1192,ET,Teff row planting,50M_PLUS,GOOD,AGRICULTURALUSE,,MIXED,OPEN_ACCESS,
1193,CH,Terasses used for hay production and grazing,,POOR,GOOD,,MIXED,,
1194,NP,Oyster Mushroom,,MEDIUM,AGRICULTURALUSE,,,,Availability of surface water: May face scarcity of drinking water in dry seasons.
1195,MA,Plantation d’arbres fruitiers avec mesures de contrôle de l’érosion,5_50M,POOR,POOR,,MIXED,,
1196,MA,Plantation Sylvo pastorales,5_50M,EXCESS,GOOD,,RAINFED,OPEN_ACCESS,
1197,ET,Soil faced deep trench bunds,5_50M,POOR,AGRICULTURALUSE,,RAINFED,,
1198,AF,Alfalfa intercropping in terraced fruit orchard,5_50M,GOOD,AGRICULTURALUSE,,IRRIGATION,COMMUNAL,"Availability of surface water: Access to irrigation water canal 

Water quality (untreated): From the canal."
1199,TZ,"Grass mulch combined with cow dung, Triple Supper Phosphate and Calcium Ammonium Nitrate in maize production.",5_50M,MEDIUM,POOR,,RAINFED,OPEN_ACCESS,"Availability of surface water: Medium (The entire catchment borders Lake Ikimba)
Water quality (untreated): Poor drinking water (no tape water and rain water reserve facilities)"
